Using ADS Bumblebee for 2mass,,,
,,,
3/6/2018,,,
,,,
pubdate:[2017-6 TO 2017-12] citations(bibcode:2006AJ....131.1163S) property:refereed database:astronomy ,,,
,,,
,,,
315 results (interestingly, within 1 of the first six months' total!),,
@ARTICLE{2017NatAs...1..713T, YES,,
@ARTICLE{2017MNRAS.471.2508S, YES,,
@ARTICLE{2017MNRAS.471.2013A, YES and gaia,,
@ARTICLE{2017MNRAS.471.1976G, YES and wise,,
@ARTICLE{2017MNRAS.471.1543H, *NO* not really ,,
@ARTICLE{2017MNRAS.471.1428V, YES,,
@ARTICLE{2017MNRAS.471..770M, YES and iras,,
@ARTICLE{2017MNRAS.471..740O, YES,,
@ARTICLE{2017MNRAS.471..629M, YES,,
@ARTICLE{2017MNRAS.471...59L, YES and wise and herschel,,
@ARTICLE{2017MNRAS.470.4885M, YES,,
@ARTICLE{2017MNRAS.470.4815B, YES,,
@ARTICLE{2017MNRAS.470.4600C, YES and wise,,
@ARTICLE{2017MNRAS.470.4285C, YES,,
@ARTICLE{2017MNRAS.470.3937S, *NO* not really,,
@ARTICLE{2017MNRAS.470.3806N, YES,,
@ARTICLE{2017BAAA...59...37O, YES though in spanish,,
@ARTICLE{2017ApJ...848L..33A, YES,,
@ARTICLE{2017ApJ...848L..30P, YES and wise,,
@ARTICLE{2017ApJ...848..106W, YES,,
@ARTICLE{2017ApJ...848..104S, YES,,
@ARTICLE{2017ApJ...848...97R, YES and wise,,
@ARTICLE{2017ApJ...848...51D, YES and wise herschel spitzer,,
@ARTICLE{2017ApJ...847..139T, YES,,
@ARTICLE{2017ApJ...847..138B, *NO* not really,,
@ARTICLE{2017ApJ...847..136B, YES and wise,,
@ARTICLE{2017ApJ...847..131M, YES and wise,,
@ARTICLE{2017ApJ...847..121A, YES,,
@ARTICLE{2017ApJ...847..116G, YES,,
@ARTICLE{2017ApJ...847..108W, YES and spitzer,,
@ARTICLE{2017ApJ...847...94S, YES,,
@ARTICLE{2017AJ....154..155J, YES,,
@ARTICLE{2017AJ....154..151B, YES,,
@ARTICLE{2017AJ....154..150A, YES,,
@ARTICLE{2017AJ....154..147D, YES ,,
@ARTICLE{2017AJ....154..134E, YES,,
@ARTICLE{2017A&A...606L...8K, YES,,
@ARTICLE{2017A&A...606A.110I, YES,,
@ARTICLE{2017A&A...606A..97N, YES,,
@ARTICLE{2017A&A...606A..65C, YES,,
@ARTICLE{2017A&A...606A..39S, YES and wise,,
@ARTICLE{2017RAA....17..105Z, ?? can't get to article,,
@ARTICLE{2017RAA....17...96L, YES,,
