,article,2mass,skrutskie,bibcode,doi
0,@ARTICLE{2017PASP..129f4101Z,yes,no,2017PASP..129f4101Z,10.1088/1538-3873/aa65ba
1,@ARTICLE{2017MNRAS.468.1156O,yes,no,2017MNRAS.468.1156O,10.1093/mnras/stx435
2,@ARTICLE{2017MNRAS.468..835B,yes,no,2017MNRAS.468..835B,10.1093/mnras/stx500
3,@ARTICLE{2017MNRAS.468...97L,yes,no,2017MNRAS.468...97L,10.1093/mnras/stx405
4,@ARTICLE{2017MNRAS.467.4902V,yes,no,2017MNRAS.467.4902V,10.1093/mnras/stx407
5,@ARTICLE{2017MNRAS.467.4841B,yes,no,2017MNRAS.467.4841B,10.1093/mnras/stx417
6,@ARTICLE{2017MNRAS.467.4220R,yes,no,2017MNRAS.467.4220R,10.1093/mnras/stx285
7,@ARTICLE{2017MNRAS.467.3788B,yes,no,2017MNRAS.467.3788B,10.1093/mnras/stx327
8,@ARTICLE{2017JApA...38...28T,yes,no,2017JApA...38...28T,10.1007/s12036-017-9445-x
9,@ARTICLE{2017Icar..289..254G,yes,no,2017Icar..289..254G,10.1016/j.icarus.2016.10.023
10,@ARTICLE{2017AstL...43..416A,yes,no,2017AstL...43..416A,10.1134/S1063773717060019
11,@ARTICLE{2017ARep...61..521K,yes,no,2017ARep...61..521K,10.1134/S1063772917060063
12,@ARTICLE{2017ApJS..230...28N,yes,no,2017ApJS..230...28N,10.3847/1538-4365/aa755e
13,@ARTICLE{2017ApJS..230...25T,no,no,2017ApJS..230...25T,10.3847/1538-4365/aa7517
14,@ARTICLE{2017ApJS..230...24B,no,no,2017ApJS..230...24B,10.3847/1538-4365/aa7053
15,@ARTICLE{2017ApJS..230...17S,no,no,2017ApJS..230...17S,10.3847/1538-4365/aa63ea
16,@ARTICLE{2017ApJS..230...16K,yes,no,2017ApJS..230...16K,10.3847/1538-4365/aa656d
17,@ARTICLE{2017ApJ...842..118L,yes,no,2017ApJ...842..118L,10.3847/1538-4357/aa6fb5
18,@ARTICLE{2017ApJ...842..116W,no,no,2017ApJ...842..116W,10.3847/1538-4357/aa7565
19,@ARTICLE{2017ApJ...842..105D,yes,no,2017ApJ...842..105D,10.3847/1538-4357/aa7209
20,@ARTICLE{2017ApJ...842...97L,yes,no,2017ApJ...842...97L,10.3847/1538-4357/aa6f14
21,@ARTICLE{2017ApJ...842...88S,no,no,2017ApJ...842...88S,10.3847/1538-4357/aa72dc
22,@ARTICLE{2017ApJ...842...83D,no,no,2017ApJ...842...83D,10.3847/1538-4357/aa6e52
23,@ARTICLE{2017ApJ...842...78V,yes,no,2017ApJ...842...78V,10.3847/1538-4357/aa73cf
24,@ARTICLE{2017ApJ...842...77S,yes,no,2017ApJ...842...77S,10.3847/1538-4357/aa74b7
25,@ARTICLE{2017ApJ...842...73L,yes,no,2017ApJ...842...73L,10.3847/1538-4357/aa7512
26,@ARTICLE{2017ApJ...842...49L,no,no,2017ApJ...842...49L,10.3847/1538-4357/aa6f17
27,@ARTICLE{2017AJ....153..261S,no,no,2017AJ....153..261S,10.3847/1538-3881/aa6eaa
28,@ARTICLE{2017AJ....153..258B,yes,no,2017AJ....153..258B,10.3847/1538-3881/aa6d59
29,@ARTICLE{2017AJ....153..257O,yes,no,2017AJ....153..257O,10.3847/1538-3881/aa6ffd
30,@ARTICLE{2017AJ....153..255C,yes,no,2017AJ....153..255C,10.3847/1538-3881/aa6e01
31,@ARTICLE{2017AJ....153..248R,no,no,2017AJ....153..248R,10.3847/1538-3881/aa6af4
32,@ARTICLE{2017A&A...602L...1D,yes,no,2017A&A...602L...1D,
33,@ARTICLE{2017A&A...602A.115D,yes,no,2017A&A...602A.115D,
34,@ARTICLE{2017A&A...602A.100T,no,no,2017A&A...602A.100T,
35,@ARTICLE{2017A&A...602A..99J,yes,no,2017A&A...602A..99J,
36,@ARTICLE{2017A&A...602A..93K,yes,no,2017A&A...602A..93K,
37,@ARTICLE{2017A&A...602A..88A,yes,no,2017A&A...602A..88A,
38,@ARTICLE{2017A&A...602A..68O,yes,no,2017A&A...602A..68O,
39,@ARTICLE{2017A&A...602A..58J,yes,no,2017A&A...602A..58J,
40,@ARTICLE{2017A&A...602A..57A,yes,no,2017A&A...602A..57A,
41,@ARTICLE{2017A&A...602A..45L,yes,no,2017A&A...602A..45L,
42,@ARTICLE{2017A&A...602A..33F,no,no,2017A&A...602A..33F,
43,@ARTICLE{2017A&A...602A..22A,yes,no,2017A&A...602A..22A,
44,@ARTICLE{2017RAA....17...62L,no,no,2017RAA....17...62L,10.1088/1674-4527/17/6/62
45,@ARTICLE{2017PhRvD..95j3511P,yes,no,2017PhRvD..95j3511P,10.1103/PhysRevD.95.103511
46,@ARTICLE{2017PASP..129e5001R,yes,no,2017PASP..129e5001R,10.1088/1538-3873/aa54a7
47,@ARTICLE{2017PASA...34...16S,yes,no,2017PASA...34...16S,10.1017/pasa.2017.10
48,@ARTICLE{2017NewA...53...53Z,no,no,2017NewA...53...53Z,10.1016/j.newast.2016.12.002
49,@ARTICLE{2017NewA...53...35D,yes,no,2017NewA...53...35D,10.1016/j.newast.2016.11.009
50,@ARTICLE{2017NewA...53....1S,no,no,2017NewA...53....1S,10.1016/j.newast.2016.11.003
51,@ARTICLE{2017MNRAS.467L..71P,no,no,2017MNRAS.467L..71P,10.1093/mnrasl/slx001
52,@ARTICLE{2017MNRAS.467L..36H,no,no,2017MNRAS.467L..36H,10.1093/mnrasl/slw251
53,@ARTICLE{2017MNRAS.467.3399W,yes,no,2017MNRAS.467.3399W,10.1093/mnras/stx311
54,@ARTICLE{2017MNRAS.467.2980S,yes,no,2017MNRAS.467.2980S,10.1093/mnras/stx205
55,@ARTICLE{2017MNRAS.467.2943S,yes,no,2017MNRAS.467.2943S,10.1093/mnras/stx014
56,@ARTICLE{2017MNRAS.467.2636D,yes,no,2017MNRAS.467.2636D,10.1093/mnras/stx263
57,@ARTICLE{2017MNRAS.467.1929F,no,no,2017MNRAS.467.1929F,10.1093/mnras/stx171
58,@ARTICLE{2017MNRAS.467.1748R,no,no,2017MNRAS.467.1748R,10.1093/mnras/stx183
59,@ARTICLE{2017MNRAS.467.1496O,yes,no,2017MNRAS.467.1496O,10.1093/mnras/stx149
60,@ARTICLE{2017MNRAS.467.1329N,no,no,2017MNRAS.467.1329N,10.1093/mnras/stw3255
61,@ARTICLE{2017MNRAS.467..836S,no,no,2017MNRAS.467..836S,10.1093/mnras/stx059
62,@ARTICLE{2017MNRAS.467..597N,yes,no,2017MNRAS.467..597N,10.1093/mnras/stx084
63,@ARTICLE{2017MNRAS.467..540L,yes,no,2017MNRAS.467..540L,10.1093/mnras/stx055
64,@ARTICLE{2017MNRAS.467..469K,no,no,2017MNRAS.467..469K,10.1093/mnras/stx096
65,@ARTICLE{2017MNRAS.467..330I,yes,no,2017MNRAS.467..330I,10.1093/mnras/stx041
66,@ARTICLE{2017MNRAS.467..239B,yes,no,2017MNRAS.467..239B,10.1093/mnras/stw2983
67,@ARTICLE{2017MNRAS.467..226G,yes,no,2017MNRAS.467..226G,10.1093/mnras/stx094
68,@ARTICLE{2017MNRAS.467..102C,yes,no,2017MNRAS.467..102C,10.1093/mnras/stx013
69,@ARTICLE{2017CQGra..34j4001R,no,no,2017CQGra..34j4001R,10.1088/1361-6382/aa68a9
70,@ARTICLE{2017ApJ...841...50P,yes,no,2017ApJ...841...50P,10.3847/1538-4357/aa6d78
71,@ARTICLE{2017ApJ...841...48S,yes,no,2017ApJ...841...48S,10.3847/1538-4357/aa6eab
72,@ARTICLE{2017ApJ...840...87R,yes,no,2017ApJ...840...87R,10.3847/1538-4357/840/2/87
73,@ARTICLE{2017ApJ...840...83M,no,no,2017ApJ...840...83M,10.3847/1538-4357/aa6f11
74,@ARTICLE{2017ApJ...840...77C,yes,no,2017ApJ...840...77C,10.3847/1538-4357/aa6d0f
75,@ARTICLE{2017ApJ...840...68G,yes,no,2017ApJ...840...68G,10.3847/1538-4357/aa6e56
76,@ARTICLE{2017ApJ...840...30F,yes,no,2017ApJ...840...30F,10.3847/1538-4357/aa6b5a
77,@ARTICLE{2017AJ....153..240A,no,no,2017AJ....153..240A,10.3847/1538-3881/aa69c0
78,@ARTICLE{2017AJ....153..234B,no,no,2017AJ....153..234B,10.3847/1538-3881/aa6ba9
79,@ARTICLE{2017AJ....153..231S,no,no,2017AJ....153..231S,10.3847/1538-3881/aa6893
80,@ARTICLE{2017AJ....153..229B,no,no,2017AJ....153..229B,10.3847/1538-3881/aa6930
81,@ARTICLE{2017AJ....153..226S,yes,no,2017AJ....153..226S,10.3847/1538-3881/aa696b
82,@ARTICLE{2017AJ....153..225M,yes,no,2017AJ....153..225M,10.3847/1538-3881/aa67f6
83,@ARTICLE{2017AJ....153..218C,yes,no,2017AJ....153..218C,10.3847/1538-3881/aa679a
84,@ARTICLE{2017A&A...601A.141G,yes,no,2017A&A...601A.141G,
85,@ARTICLE{2017A&A...601A.136B,no,no,2017A&A...601A.136B,
86,@ARTICLE{2017A&A...601A..78R,no,no,2017A&A...601A..78R,
87,@ARTICLE{2017A&A...601A..76K,yes,no,2017A&A...601A..76K,
88,@ARTICLE{2017A&A...601A..70S,no,no,2017A&A...601A..70S,
89,@ARTICLE{2017A&A...601A..65D,yes,no,2017A&A...601A..65D,
90,@ARTICLE{2017A&A...601A..54M,yes,no,2017A&A...601A..54M,
91,@ARTICLE{2017A&A...601A..53E,yes,no,2017A&A...601A..53E,
92,@ARTICLE{2017A&A...601A..40H,no,no,2017A&A...601A..40H,
93,@ARTICLE{2017A&A...601A..31L,yes,no,2017A&A...601A..31L,
94,@ARTICLE{2017A&A...601A..20K,no,no,2017A&A...601A..20K,
95,@ARTICLE{2017A&A...601A...7F,yes,no,2017A&A...601A...7F,
96,@ARTICLE{2017RMxAA..53..133K,yes,no,2017RMxAA..53..133K,
97,@ARTICLE{2017RMxAA..53...67Y,yes,no,2017RMxAA..53...67Y,
98,@ARTICLE{2017RMxAA..53....3S,yes,no,2017RMxAA..53....3S,
99,@ARTICLE{2017PASJ...69...20H,no,no,2017PASJ...69...20H,10.1093/pasj/psw124
100,@ARTICLE{2017PASA...34...21E,yes,no,2017PASA...34...21E,10.1017/pasa.2017.16
101,@ARTICLE{2017Obs...137...96L,no,no,2017Obs...137...96L,
102,@ARTICLE{2017NewA...52..133P,yes,no,2017NewA...52..133P,10.1016/j.newast.2016.10.012
103,@ARTICLE{2017NewA...52..122Z,no,no,2017NewA...52..122Z,10.1016/j.newast.2016.10.010
104,@ARTICLE{2017NewA...52...29L,yes,no,2017NewA...52...29L,10.1016/j.newast.2016.10.005
105,@ARTICLE{2017NewA...52....8K,no,no,2017NewA...52....8K,10.1016/j.newast.2016.10.001
106,@ARTICLE{2017MNRAS.466.5020H,yes,no,2017MNRAS.466.5020H,10.1093/mnras/stx077
107,@ARTICLE{2017MNRAS.466.4960P,no,no,2017MNRAS.466.4960P,10.1093/mnras/stx081
108,@ARTICLE{2017MNRAS.466.4917D,no,no,2017MNRAS.466.4917D,10.1093/mnras/stx045
109,@ARTICLE{2017MNRAS.466.4904B,yes,no,2017MNRAS.466.4904B,10.1093/mnras/stx033
110,@ARTICLE{2017MNRAS.466.4711B,no,no,2017MNRAS.466.4711B,10.1093/mnras/stw3357
111,@ARTICLE{2017MNRAS.466.4692K,yes,no,2017MNRAS.466.4692K,10.1093/mnras/stw3328
112,@ARTICLE{2017MNRAS.466.4540H,yes,no,2017MNRAS.466.4540H,10.1093/mnras/stw2954
113,@ARTICLE{2017MNRAS.466.4279B,yes,no,2017MNRAS.466.4279B,10.1093/mnras/stw3294
114,@ARTICLE{2017MNRAS.466.4021P,yes,no,2017MNRAS.466.4021P,10.1093/mnras/stw3375
115,@ARTICLE{2017MNRAS.466.3741V,yes,no,2017MNRAS.466.3741V,10.1093/mnras/stw3198
116,@ARTICLE{2017MNRAS.466.3507L,yes,no,2017MNRAS.466.3507L,10.1093/mnras/stw3374
117,@ARTICLE{2017MNRAS.466.3206M,no,no,2017MNRAS.466.3206M,10.1093/mnras/stw3289
118,@ARTICLE{2017MNRAS.466.3161S,yes,no,2017MNRAS.466.3161S,10.1093/mnras/stw3268
119,@ARTICLE{2017MNRAS.466.2948A,yes,no,2017MNRAS.466.2948A,10.1093/mnras/stw3046
120,@ARTICLE{2017MNRAS.466.2855P,no,no,2017MNRAS.466.2855P,10.1093/mnras/stw3293
121,@ARTICLE{2017MNRAS.466.2542S,no,no,2017MNRAS.466.2542S,10.1093/mnras/stw3179
122,@ARTICLE{2017MNRAS.466.2194G,yes,no,2017MNRAS.466.2194G,10.1093/mnras/stw3266
123,@ARTICLE{2017MNRAS.466.2161B,yes,no,2017MNRAS.466.2161B,10.1093/mnras/stw3252
124,@ARTICLE{2017MNRAS.466.1963L,yes,no,2017MNRAS.466.1963L,10.1093/mnras/stw3165
125,@ARTICLE{2017MNRAS.466.1757K,no,no,2017MNRAS.466.1757K,10.1093/mnras/stw3184
126,@ARTICLE{2017MNRAS.466.1491H,no,no,2017MNRAS.466.1491H,10.1093/mnras/stw2992
127,@ARTICLE{2017MNRAS.466.1290N,yes,no,2017MNRAS.466.1290N,10.1093/mnras/stw3072
128,@ARTICLE{2017MNRAS.466.1192M,yes,no,2017MNRAS.466.1192M,10.1093/mnras/stw3180
129,@ARTICLE{2017MNRAS.466.1118Z,yes,no,2017MNRAS.466.1118Z,10.1093/mnras/stw3153
130,@ARTICLE{2017MNRAS.466..861D,yes,no,2017MNRAS.466..861D,10.1093/mnras/stw3088
131,@ARTICLE{2017MNRAS.466..355M,yes,no,2017MNRAS.466..355M,10.1093/mnras/stw3107
132,@ARTICLE{2017ApJS..229...30M,yes,no,2017ApJS..229...30M,10.3847/1538-4365/229/2/30
133,@ARTICLE{2017ApJ...839...39L,no,no,2017ApJ...839...39L,10.3847/1538-4357/aa6980
134,@ARTICLE{2017ApJ...838..132O,yes,no,2017ApJ...838..132O,10.3847/1538-4357/aa6747
135,@ARTICLE{2017AJ....153..199T,yes,no,2017AJ....153..199T,10.3847/1538-3881/aa63ed
136,@ARTICLE{2017AJ....153..191S,yes,no,2017AJ....153..191S,10.3847/1538-3881/aa6477
137,@ARTICLE{2017AJ....153..189L,no,no,2017AJ....153..189L,10.3847/1538-3881/aa643a
138,@ARTICLE{2017AJ....153..182C,no,no,2017AJ....153..182C,10.3847/1538-3881/aa63e9
139,@ARTICLE{2017AJ....153..179M,no,no,2017AJ....153..179M,10.3847/1538-3881/aa5be4
140,@ARTICLE{2017AJ....153..175C,yes,no,2017AJ....153..175C,10.3847/1538-3881/aa6397
141,@ARTICLE{2017AJ....153..173H,yes,no,2017AJ....153..173H,10.3847/1538-3881/aa5ff8
142,@ARTICLE{2017AJ....153..154B,no,no,2017AJ....153..154B,10.3847/1538-3881/aa5e4f
143,@ARTICLE{2017AJ....153..142P,yes,no,2017AJ....153..142P,10.3847/1538-3881/aa5ea5
144,@ARTICLE{2017A&A...600A.129E,no,no,2017A&A...600A.129E,
145,@ARTICLE{2017A&A...600A.112I,no,no,2017A&A...600A.112I,
146,@ARTICLE{2017A&A...600A.106C,no,no,2017A&A...600A.106C,
147,@ARTICLE{2017A&A...600A..92R,yes,no,2017A&A...600A..92R,
148,@ARTICLE{2017A&A...600A..83M,yes,no,2017A&A...600A..83M,
149,@ARTICLE{2017A&A...600A..81R,no,no,2017A&A...600A..81R,
150,@ARTICLE{2017A&A...600A..66V,yes,no,2017A&A...600A..66V,
151,@ARTICLE{2017A&A...600A..20A,yes,no,2017A&A...600A..20A,
152,@ARTICLE{2017A&A...600A..14S,yes,no,2017A&A...600A..14S,
153,@ARTICLE{2017PDU....15...90I,no,no,2017PDU....15...90I,10.1016/j.dark.2016.12.004
154,@ARTICLE{2017PASP..129c4002B,no,no,2017PASP..129c4002B,10.1088/1538-3873/aa5455
155,@ARTICLE{2017MNRAS.466L..34K,no,no,2017MNRAS.466L..34K,10.1093/mnrasl/slw228
156,@ARTICLE{2017MNRAS.466L..29K,yes,no,2017MNRAS.466L..29K,10.1093/mnrasl/slw229
157,@ARTICLE{2017MNRAS.465.4281P,no,no,2017MNRAS.465.4281P,10.1093/mnras/stw2862
158,@ARTICLE{2017MNRAS.465.4118J,no,no,2017MNRAS.465.4118J,10.1093/mnras/stw3033
159,@ARTICLE{2017MNRAS.465.3693H,yes,no,2017MNRAS.465.3693H,10.1093/mnras/stw3005
160,@ARTICLE{2017MNRAS.465.3656L,yes,no,2017MNRAS.465.3656L,10.1093/mnras/stw2669
161,@ARTICLE{2017MNRAS.465.3536L,yes,no,2017MNRAS.465.3536L,10.1093/mnras/stw2865
162,@ARTICLE{2017MNRAS.465.3515C,no,no,2017MNRAS.465.3515C,10.1093/mnras/stw2812
163,@ARTICLE{2017MNRAS.465.3185O,yes,no,2017MNRAS.465.3185O,10.1093/mnras/stw2832
164,@ARTICLE{2017MNRAS.465.3101J,yes,no,2017MNRAS.465.3101J,10.1093/mnras/stw2852
165,@ARTICLE{2017MNRAS.465.2748P,yes,no,2017MNRAS.465.2748P,10.1093/mnras/stw2987
166,@ARTICLE{2017JCAP...03..011M,yes,no,2017JCAP...03..011M,10.1088/1475-7516/2017/03/011
167,@ARTICLE{2017AstL...43..135K,yes,no,2017AstL...43..135K,10.1134/S1063773717030045
168,@ARTICLE{2017ApJ...838...66L,no,no,2017ApJ...838...66L,10.3847/1538-4357/aa6247
169,@ARTICLE{2017ApJ...838...62L,yes,no,2017ApJ...838...62L,10.3847/1538-4357/aa64da
170,@ARTICLE{2017ApJ...838...10M,no,no,2017ApJ...838...10M,10.3847/1538-4357/aa5fa8
171,@ARTICLE{2017ApJ...837..170L,yes,no,2017ApJ...837..170L,10.3847/1538-4357/aa5ffe
172,@ARTICLE{2017ApJ...837..167J,yes,no,2017ApJ...837..167J,10.3847/1538-4357/aa618f
173,@ARTICLE{2017ApJ...837..163R,no,no,2017ApJ...837..163R,10.3847/1538-4357/aa6249
174,@ARTICLE{2017ApJ...837..154N,yes,no,2017ApJ...837..154N,10.3847/1538-4357/aa5ea6
175,@ARTICLE{2017ApJ...837..145C,yes,no,2017ApJ...837..145C,10.3847/1538-4357/837/2/145
176,@ARTICLE{2017ApJ...837..122M,no,no,2017ApJ...837..122M,10.3847/1538-4357/aa5d17
177,@ARTICLE{2017ApJ...837..116B,yes,no,2017ApJ...837..116B,10.3847/1538-4357/aa610f
178,@ARTICLE{2017ApJ...837..109L,yes,no,2017ApJ...837..109L,10.3847/1538-4357/aa5eb6
179,@ARTICLE{2017ApJ...837...90D,yes,no,2017ApJ...837...90D,10.3847/1538-4357/aa6032
180,@ARTICLE{2017ApJ...837...57D,yes,no,2017ApJ...837...57D,10.3847/1538-4357/aa5d09
181,@ARTICLE{2017ApJ...837...40P,yes,no,2017ApJ...837...40P,10.3847/1538-4357/aa5ebc
182,@ARTICLE{2017ApJ...837...15D,yes,no,2017ApJ...837...15D,10.3847/1538-4357/837/1/15
