,article,2mass,skrutskie,bibcode,doi
88,@ARTICLE{2017PASP..129d4102D,yes,yes,2017PASP..129d4102D,10.1088/1538-3873/129/974/044102
89,@ARTICLE{2017PASJ...69...29N,yes,yes,2017PASJ...69...29N,10.1093/pasj/psx002
90,@ARTICLE{2017NewA...52...55B,yes,yes,2017NewA...52...55B,10.1016/j.newast.2016.10.009
91,@ARTICLE{2017Natur.544..333D,yes,yes,2017Natur.544..333D,10.1038/nature22055
92,@ARTICLE{2017MNRAS.466.4370S,yes,yes,2017MNRAS.466.4370S,10.1093/mnras/stx018
93,@ARTICLE{2017MNRAS.466.3636M,yes,yes,2017MNRAS.466.3636M,10.1093/mnras/stw3302
94,@ARTICLE{2017MNRAS.466.3519R,yes,yes,2017MNRAS.466.3519R,10.1093/mnras/stw3378
95,@ARTICLE{2017MNRAS.466.3184M,yes,yes,2017MNRAS.466.3184M,10.1093/mnras/stw3278
96,@ARTICLE{2017MNRAS.466.3088W,yes,yes,2017MNRAS.466.3088W,10.1093/mnras/stw3239
97,@ARTICLE{2017MNRAS.466.3077M,yes,yes,2017MNRAS.466.3077M,10.1093/mnras/stw3242
98,@ARTICLE{2017MNRAS.466.3060P,yes,yes,2017MNRAS.466.3060P,10.1093/mnras/stw3226
99,@ARTICLE{2017MNRAS.466.2983G,yes,yes,2017MNRAS.466.2983G,10.1093/mnras/stw3097
100,@ARTICLE{2017MNRAS.466.2212A,yes,yes,2017MNRAS.466.2212A,10.1093/mnras/stw3292
101,@ARTICLE{2017MNRAS.466.2024T,yes,yes,2017MNRAS.466.2024T,10.1093/mnras/stw3183
102,@ARTICLE{2017MNRAS.466.1944M,yes,yes,2017MNRAS.466.1944M,10.1093/mnras/stw3087
103,@ARTICLE{2017MNRAS.466.1857G,yes,yes,2017MNRAS.466.1857G,10.1093/mnras/stw3257
104,@ARTICLE{2017MNRAS.466.1399H,yes,yes,2017MNRAS.466.1399H,10.1093/mnras/stw3186
105,@ARTICLE{2017MNRAS.466.1382L,yes,yes,2017MNRAS.466.1382L,10.1093/mnras/stw3162
106,@ARTICLE{2017MNRAS.466.1127K,yes,yes,2017MNRAS.466.1127K,10.1093/mnras/stw3149
107,@ARTICLE{2017MNRAS.466.1061P,yes,yes,2017MNRAS.466.1061P,10.1093/mnras/stw3121
108,@ARTICLE{2017MNRAS.466.1010S,yes,yes,2017MNRAS.466.1010S,10.1093/mnras/stw3093
109,@ARTICLE{2017MNRAS.466..613M,no,yes,2017MNRAS.466..613M,10.1093/mnras/stw3052
110,@ARTICLE{2017MNRAS.466..392P,yes,yes,2017MNRAS.466..392P,10.1093/mnras/stw3154
111,@ARTICLE{2017IBVS.6205....1I,yes,yes,2017IBVS.6205....1I,10.22444/IBVS.6205
112,@ARTICLE{2017AstBu..72..141S,yes,yes,2017AstBu..72..141S,10.1134/S1990341317020055
113,@ARTICLE{2017ApJS..229...38C,yes,yes,2017ApJS..229...38C,10.3847/1538-4365/aa69ba
114,@ARTICLE{2017ApJS..229...32S,yes,yes,2017ApJS..229...32S,10.3847/1538-4365/aa66cb
115,@ARTICLE{2017ApJS..229...28G,yes,yes,2017ApJS..229...28G,10.3847/1538-4365/229/2/28
116,@ARTICLE{2017ApJS..229...25C,yes,yes,2017ApJS..229...25C,10.3847/1538-4365/aa5d15
117,@ARTICLE{2017ApJ...839..108S,yes,yes,2017ApJ...839..108S,10.3847/1538-4357/aa6575
118,@ARTICLE{2017ApJ...839..106S,yes,yes,2017ApJ...839..106S,10.3847/1538-4357/aa683c
