,article,2mass,skrutskie,bibcode,doi
432,@ARTICLE{2017MNRAS.468...97L,yes,yes,2017MNRAS.468...97L,10.1093/mnras/stx405
433,@ARTICLE{2017MNRAS.467.4902V,yes,yes,2017MNRAS.467.4902V,10.1093/mnras/stx407
434,@ARTICLE{2017MNRAS.467.4220R,yes,yes,2017MNRAS.467.4220R,10.1093/mnras/stx285
435,@ARTICLE{2017MNRAS.467.3788B,yes,yes,2017MNRAS.467.3788B,10.1093/mnras/stx327
436,@ARTICLE{2017JASS...34...83H,no,yes,2017JASS...34...83H,10.5140/JASS.2017.34.2.83
437,@ARTICLE{2017JApA...38...28T,yes,yes,2017JApA...38...28T,10.1007/s12036-017-9445-x
438,@ARTICLE{2017Icar..289..254G,yes,yes,2017Icar..289..254G,10.1016/j.icarus.2016.10.023
439,@ARTICLE{2017AstL...43..416A,yes,yes,2017AstL...43..416A,10.1134/S1063773717060019
440,@ARTICLE{2017ARep...61..521K,yes,yes,2017ARep...61..521K,10.1134/S1063772917060063
441,@ARTICLE{2017ApJS..230...28N,yes,yes,2017ApJS..230...28N,10.3847/1538-4365/aa755e
442,@ARTICLE{2017ApJS..230...25T,no,yes,2017ApJS..230...25T,10.3847/1538-4365/aa7517
443,@ARTICLE{2017ApJS..230...24B,no,yes,2017ApJS..230...24B,10.3847/1538-4365/aa7053
444,@ARTICLE{2017ApJS..230...17S,no,yes,2017ApJS..230...17S,10.3847/1538-4365/aa63ea
445,@ARTICLE{2017ApJS..230...16K,yes,yes,2017ApJS..230...16K,10.3847/1538-4365/aa656d
446,@ARTICLE{2017ApJ...842..118L,yes,yes,2017ApJ...842..118L,10.3847/1538-4357/aa6fb5
447,@ARTICLE{2017ApJ...842..116W,no,yes,2017ApJ...842..116W,10.3847/1538-4357/aa7565
448,@ARTICLE{2017ApJ...842..105D,yes,yes,2017ApJ...842..105D,10.3847/1538-4357/aa7209
449,@ARTICLE{2017ApJ...842...97L,yes,yes,2017ApJ...842...97L,10.3847/1538-4357/aa6f14
450,@ARTICLE{2017ApJ...842...88S,yes,yes,2017ApJ...842...88S,10.3847/1538-4357/aa72dc
451,@ARTICLE{2017ApJ...842...83D,no,yes,2017ApJ...842...83D,10.3847/1538-4357/aa6e52
452,@ARTICLE{2017ApJ...842...78V,yes,yes,2017ApJ...842...78V,10.3847/1538-4357/aa73cf
453,@ARTICLE{2017ApJ...842...77S,yes,yes,2017ApJ...842...77S,10.3847/1538-4357/aa74b7
454,@ARTICLE{2017ApJ...842...73L,yes,yes,2017ApJ...842...73L,10.3847/1538-4357/aa7512
455,@ARTICLE{2017ApJ...842...57T,no,yes,2017ApJ...842...57T,10.3847/1538-4357/aa745b
456,@ARTICLE{2017ApJ...842...49L,yes,yes,2017ApJ...842...49L,10.3847/1538-4357/aa6f17
457,@ARTICLE{2017ApJ...841L..19K,yes,yes,2017ApJ...841L..19K,10.3847/2041-8213/aa7200
458,@ARTICLE{2017ApJ...841L..18M,no,yes,2017ApJ...841L..18M,10.3847/2041-8213/aa7268
459,@ARTICLE{2017ApJ...841..130A,yes,yes,2017ApJ...841..130A,10.3847/1538-4357/aa72a1
460,@ARTICLE{2017ApJ...841..124V,no,yes,2017ApJ...841..124V,10.3847/1538-4357/aa6f05
461,@ARTICLE{2017ApJ...841..116H,no,yes,2017ApJ...841..116H,10.3847/1538-4357/aa71b8
462,@ARTICLE{2017ApJ...841...84N,yes,yes,2017ApJ...841...84N,10.3847/1538-4357/aa713d
463,@ARTICLE{2017ApJ...841...74S,no,yes,2017ApJ...841...74S,10.3847/1538-4357/aa7061
464,@ARTICLE{2017AJ....153..270V,yes,yes,2017AJ....153..270V,10.3847/1538-3881/aa72ea
465,@ARTICLE{2017AJ....153..261S,no,yes,2017AJ....153..261S,10.3847/1538-3881/aa6eaa
466,@ARTICLE{2017AJ....153..258B,yes,yes,2017AJ....153..258B,10.3847/1538-3881/aa6d59
467,@ARTICLE{2017AJ....153..257O,yes,yes,2017AJ....153..257O,10.3847/1538-3881/aa6ffd
468,@ARTICLE{2017AJ....153..255C,yes,yes,2017AJ....153..255C,10.3847/1538-3881/aa6e01
469,@ARTICLE{2017AJ....153..248R,no,yes,2017AJ....153..248R,10.3847/1538-3881/aa6af4
470,@ARTICLE{2017A&A...602L...1D,yes,yes,2017A&A...602L...1D,
471,@ARTICLE{2017A&A...602A.115D,yes,yes,2017A&A...602A.115D,
472,@ARTICLE{2017A&A...602A.100T,yes,yes,2017A&A...602A.100T,
473,@ARTICLE{2017A&A...602A..99J,yes,yes,2017A&A...602A..99J,
474,@ARTICLE{2017A&A...602A..97R,yes,yes,2017A&A...602A..97R,
475,@ARTICLE{2017A&A...602A..93K,yes,yes,2017A&A...602A..93K,
476,@ARTICLE{2017A&A...602A..88A,no,yes,2017A&A...602A..88A,
477,@ARTICLE{2017A&A...602A..81C,yes,yes,2017A&A...602A..81C,
478,@ARTICLE{2017A&A...602A..79L,yes,yes,2017A&A...602A..79L,
479,@ARTICLE{2017A&A...602A..68O,yes,yes,2017A&A...602A..68O,
480,@ARTICLE{2017A&A...602A..58J,yes,yes,2017A&A...602A..58J,
481,@ARTICLE{2017A&A...602A..57A,yes,yes,2017A&A...602A..57A,
482,@ARTICLE{2017A&A...602A..45L,no,yes,2017A&A...602A..45L,
483,@ARTICLE{2017A&A...602A..33F,no,yes,2017A&A...602A..33F,
484,@ARTICLE{2017A&A...602A..28M,yes,yes,2017A&A...602A..28M,
485,@ARTICLE{2017A&A...602A..22A,yes,yes,2017A&A...602A..22A,
486,@ARTICLE{2017A&A...602A..10G,yes,yes,2017A&A...602A..10G,
