,article,2mass,skrutskie,bibcode,doi
0,@ARTICLE{2017Sci...358.1583K,yes,yes,2017Sci...358.1583K,10.1126/science.aaq0073
1,@ARTICLE{2017Sci...358.1570D,yes,yes,2017Sci...358.1570D,10.1126/science.aaq0049
2,@ARTICLE{2017Sci...358.1559K,yes,yes,2017Sci...358.1559K,10.1126/science.aap9455
3,@ARTICLE{2017Sci...358.1556C,yes,yes,2017Sci...358.1556C,10.1126/science.aap9811
4,@ARTICLE{2017PhRvD..96l4005B,yes,yes,2017PhRvD..96l4005B,10.1103/PhysRevD.96.124005
5,@ARTICLE{2017OAst...26..219K,yes,yes,2017OAst...26..219K,10.1515/astro-2017-0427
6,@ARTICLE{2017NatAs...1..886M,yes,yes,2017NatAs...1..886M,10.1038/s41550-017-0299-6
7,@ARTICLE{2017MNRAS.472.4750D,yes,yes,2017MNRAS.472.4750D,10.1093/mnras/stx2290
8,@ARTICLE{2017MNRAS.472.4563M,yes,yes,2017MNRAS.472.4563M,10.1093/mnras/stx2306
9,@ARTICLE{2017MNRAS.472.4259D,yes,yes,2017MNRAS.472.4259D,10.1093/mnras/stx1935
10,@ARTICLE{2017MNRAS.472.4173R,yes,yes,2017MNRAS.472.4173R,10.1093/mnras/stx2243
11,@ARTICLE{2017MNRAS.472.3924C,yes,yes,2017MNRAS.472.3924C,10.1093/mnras/stx2287
12,@ARTICLE{2017MNRAS.472.3805G,yes,yes,2017MNRAS.472.3805G,10.1093/mnras/stx2219
13,@ARTICLE{2017MNRAS.472.3789C,yes,yes,2017MNRAS.472.3789C,10.1093/mnras/stx2185
14,@ARTICLE{2017MNRAS.472.3492E,yes,yes,2017MNRAS.472.3492E,10.1093/mnras/stx2160
15,@ARTICLE{2017MNRAS.472.2990L,yes,yes,2017MNRAS.472.2990L,10.1093/mnras/stx2058
16,@ARTICLE{2017MNRAS.472.2963Y,yes,yes,2017MNRAS.472.2963Y,10.1093/mnras/stx2005
17,@ARTICLE{2017MNRAS.472.2856S,yes,yes,2017MNRAS.472.2856S,10.1093/mnras/stx2174
18,@ARTICLE{2017MNRAS.472.2517J,yes,yes,2017MNRAS.472.2517J,10.1093/mnras/stx1877
19,@ARTICLE{2017MNRAS.472.2297M,yes,yes,2017MNRAS.472.2297M,10.1093/mnras/stx2191
20,@ARTICLE{2017MNRAS.472.1760G,yes,yes,2017MNRAS.472.1760G,10.1093/mnras/stx2098
21,@ARTICLE{2017MNRAS.472.1482O,yes,yes,2017MNRAS.472.1482O,10.1093/mnras/stx2078
22,@ARTICLE{2017MNRAS.472.1300W,yes,yes,2017MNRAS.472.1300W,10.1093/mnras/stx1793
23,@ARTICLE{2017JAVSO..45..173S,no,yes,2017JAVSO..45..173S,
24,@ARTICLE{2017JAVSO..45..148S,no,yes,2017JAVSO..45..148S,
25,@ARTICLE{2017ApJS..233...20L,yes,yes,2017ApJS..233...20L,10.3847/1538-4365/aa96fc
26,@ARTICLE{2017ApJS..233...17R,yes,yes,2017ApJS..233...17R,10.3847/1538-4365/aa96ad
27,@ARTICLE{2017ApJ...851L..15K,yes,yes,2017ApJ...851L..15K,10.3847/2041-8213/aa9b2d
28,@ARTICLE{2017ApJ...851..132C,yes,yes,2017ApJ...851..132C,10.3847/1538-4357/aa9be7
29,@ARTICLE{2017ApJ...851...90B,yes,yes,2017ApJ...851...90B,10.3847/1538-4357/aa9a43
30,@ARTICLE{2017ApJ...851...87O,yes,yes,2017ApJ...851...87O,10.3847/1538-4357/aa9923
31,@ARTICLE{2017ApJ...851...69S,yes,yes,2017ApJ...851...69S,10.3847/1538-4357/aa989e
32,@ARTICLE{2017ApJ...851...66H,yes,yes,2017ApJ...851...66H,10.3847/1538-4357/aa9af3
33,@ARTICLE{2017ApJ...851...56W,yes,yes,2017ApJ...851...56W,10.3847/1538-4357/aa9981
34,@ARTICLE{2017ApJ...851...46F,yes,yes,2017ApJ...851...46F,10.3847/1538-4357/aa998c
35,@ARTICLE{2017ApJ...851...13S,yes,yes,2017ApJ...851...13S,10.3847/1538-4357/aa9929
36,@ARTICLE{2017ApJ...850..195E,yes,yes,2017ApJ...850..195E,10.3847/1538-4357/aa917e
37,@ARTICLE{2017ApJ...850..179C,yes,yes,2017ApJ...850..179C,10.3847/1538-4357/aa9079
38,@ARTICLE{2017Ap&SS.362..228P,yes,yes,2017Ap&SS.362..228P,
39,@ARTICLE{2017AJ....154..274W,yes,yes,2017AJ....154..274W,10.3847/1538-3881/aa9894
40,@ARTICLE{2017AJ....154..268M,yes,yes,2017AJ....154..268M,10.3847/1538-3881/aa94cc
41,@ARTICLE{2017AJ....154..266N,yes,yes,2017AJ....154..266N,10.3847/1538-3881/aa957c
42,@ARTICLE{2017AJ....154..262M,yes,yes,2017AJ....154..262M,10.3847/1538-3881/aa9711
43,@ARTICLE{2017AJ....154..260P,yes,yes,2017AJ....154..260P,10.3847/1538-3881/aa9438
44,@ARTICLE{2017AJ....154..259S,yes,yes,2017AJ....154..259S,10.3847/1538-3881/aa957b
45,@ARTICLE{2017AJ....154..224R,yes,yes,2017AJ....154..224R,10.3847/1538-3881/aa9070
46,@ARTICLE{2017AJ....154..218N,yes,yes,2017AJ....154..218N,10.3847/1538-3881/aa8a69
47,@ARTICLE{2017A&A...608A.148Z,yes,yes,2017A&A...608A.148Z,
48,@ARTICLE{2017A&A...608A.142V,yes,yes,2017A&A...608A.142V,
49,@ARTICLE{2017A&A...608A.141T,yes,yes,2017A&A...608A.141T,
50,@ARTICLE{2017A&A...608A.129T,yes,yes,2017A&A...608A.129T,
51,@ARTICLE{2017A&A...608A.106B,yes,yes,2017A&A...608A.106B,
52,@ARTICLE{2017A&A...608A.100E,yes,yes,2017A&A...608A.100E,
53,@ARTICLE{2017A&A...608A..85L,yes,yes,2017A&A...608A..85L,
54,@ARTICLE{2017A&A...608A..56G,yes,yes,2017A&A...608A..56G,
55,@ARTICLE{2017A&A...608A..39M,yes,yes,2017A&A...608A..39M,
56,@ARTICLE{2017A&A...608A..21S,yes,yes,2017A&A...608A..21S,
57,@ARTICLE{2017OAst...26...80S,yes,yes,2017OAst...26...80S,10.1515/astro-2017-0023
58,@ARTICLE{2017NewA...57...37B,yes,yes,2017NewA...57...37B,10.1016/j.newast.2017.06.006
59,@ARTICLE{2017Natur.551...85A,yes,yes,2017Natur.551...85A,10.1038/nature24471
60,@ARTICLE{2017Natur.551...71T,yes,yes,2017Natur.551...71T,10.1038/nature24290
61,@ARTICLE{2017MNRAS.472..419L,yes,yes,2017MNRAS.472..419L,10.1093/mnras/stx1579
62,@ARTICLE{2017MNRAS.472..400H,yes,yes,2017MNRAS.472..400H,10.1093/mnras/stx1994
63,@ARTICLE{2017MNRAS.472..295G,yes,yes,2017MNRAS.472..295G,10.1093/mnras/stx1920
64,@ARTICLE{2017MNRAS.472..217S,yes,yes,2017MNRAS.472..217S,10.1093/mnras/stx2010
65,@ARTICLE{2017MNRAS.471.4966H,yes,yes,2017MNRAS.471.4966H,10.1093/mnras/stx1544
66,@ARTICLE{2017MNRAS.471.4571C,yes,yes,2017MNRAS.471.4571C,10.1093/mnras/stx1932
67,@ARTICLE{2017MNRAS.471.4452D,yes,yes,2017MNRAS.471.4452D,10.1093/mnras/stx1826
68,@ARTICLE{2017MNRAS.471.4381S,yes,yes,2017MNRAS.471.4381S,10.1093/mnras/stx1885
69,@ARTICLE{2017MNRAS.471.4323S,yes,yes,2017MNRAS.471.4323S,10.1093/mnras/stx1832
70,@ARTICLE{2017MNRAS.471.4234K,yes,yes,2017MNRAS.471.4234K,10.1093/mnras/stx1945
71,@ARTICLE{2017MNRAS.471.4087S,yes,yes,2017MNRAS.471.4087S,10.1093/mnras/stx1892
72,@ARTICLE{2017MNRAS.471.3699M,yes,yes,2017MNRAS.471.3699M,10.1093/mnras/stx1906
73,@ARTICLE{2017MNRAS.471.3087S,no,yes,2017MNRAS.471.3087S,10.1093/mnras/stx1800
74,@ARTICLE{2017MNRAS.471.3057M,yes,yes,2017MNRAS.471.3057M,10.1093/mnras/stx1774
75,@ARTICLE{2017MNRAS.471.2952M,yes,yes,2017MNRAS.471.2952M,10.1093/mnras/stx1679
76,@ARTICLE{2017MNRAS.471.2829T,yes,yes,2017MNRAS.471.2829T,10.1093/mnras/stx1760
77,@ARTICLE{2017MNRAS.471.2687B,yes,yes,2017MNRAS.471.2687B,10.1093/mnras/stx1688
78,@ARTICLE{2017JCAP...11..035W,no,yes,2017JCAP...11..035W,10.1088/1475-7516/2017/11/035
79,@ARTICLE{2017Icar..296..139V,no,yes,2017Icar..296..139V,10.1016/j.icarus.2017.05.021
80,@ARTICLE{2017Atoms...5...43L,yes,yes,2017Atoms...5...43L,10.3390/atoms5040043
81,@ARTICLE{2017ApJS..233....6H,yes,yes,2017ApJS..233....6H,10.3847/1538-4365/aa8ef4
82,@ARTICLE{2017ApJ...850...34B,yes,yes,2017ApJ...850...34B,10.3847/1538-4357/aa91d4
83,@ARTICLE{2017ApJ...850....5M,yes,yes,2017ApJ...850....5M,10.3847/1538-4357/aa9331
84,@ARTICLE{2017ApJ...849..157W,yes,yes,2017ApJ...849..157W,10.3847/1538-4357/aa937f
85,@ARTICLE{2017ApJ...849..150C,no,yes,2017ApJ...849..150C,10.3847/1538-4357/aa9120
86,@ARTICLE{2017ApJ...849..143S,yes,yes,2017ApJ...849..143S,10.3847/1538-4357/aa886a
87,@ARTICLE{2017ApJ...849..140X,yes,yes,2017ApJ...849..140X,10.3847/1538-4357/aa8ee0
88,@ARTICLE{2017ApJ...849..107M,no,yes,2017ApJ...849..107M,10.3847/1538-4357/aa9225
89,@ARTICLE{2017ApJ...849...99Z,yes,yes,2017ApJ...849...99Z,10.3847/1538-4357/aa8ee9
90,@ARTICLE{2017ApJ...849...96D,yes,yes,2017ApJ...849...96D,10.3847/1538-4357/aa9062
91,@ARTICLE{2017ApJ...849...65D,yes,yes,2017ApJ...849...65D,10.3847/1538-4357/aa8e00
92,@ARTICLE{2017ApJ...849...63R,yes,yes,2017ApJ...849...63R,10.3847/1538-4357/aa8e99
93,@ARTICLE{2017ApJ...849...53H,yes,yes,2017ApJ...849...53H,10.3847/1538-4357/aa8c77
